"COUNTRY";"AREA";"YEAR";"MONTH";"DAY";"HAUL_NUMBER";"Longitude";"Latitude"
"ESP";1;2006;5;5;1;-4.26258333333333;36.6874166666667
"ESP";1;2006;5;5;2;-4.34958333333333;36.6129166666667
"ESP";1;2006;5;5;3;-4.46616666666667;36.582
"ESP";1;2006;5;5;4;-4.56366666666667;36.5568333333333
"ESP";1;2006;5;6;5;-4.89525;36.25425
"ESP";1;2006;5;6;6;-5;36.2350833333333
"ESP";1;2006;5;6;7;-5.06516666666667;36.27975
"ESP";1;2006;6;6;8;-5.14108333333333;36.3369166666667
"ESP";1;2006;6;6;9;-5.21166666666667;36.3456666666667
"ESP";1;2006;5;7;10;-4.83933333333333;36.4535833333333
"ESP";1;2006;5;7;11;-4.77;36.4029166666667
"ESP";1;2006;5;7;12;-4.46875;36.3965
"ESP";1;2006;5;7;13;-4.324;36.3085
"ESP";1;2006;5;8;14;-4.029;36.6265833333333
"ESP";1;2006;5;8;15;-4.16683333333333;36.5539166666667
"ESP";1;2006;5;8;16;-4.15808333333333;36.5034166666667
"ESP";1;2006;5;8;17;-3.94891666666667;36.5395833333333
"ESP";1;2006;5;9;18;-3.2205;35.8975833333333
"ESP";1;2006;5;9;19;-3.14091666666667;35.97025
"ESP";1;2006;5;9;20;-3.11466666666667;35.9554166666667
"ESP";1;2006;5;9;21;-3.04275;35.9951666666667
"ESP";1;2006;5;10;22;-2.723;36.0160833333333
"ESP";1;2006;5;10;23;-2.81091666666667;35.99175
"ESP";1;2006;5;10;24;-3.04666666666667;35.9220833333333
"ESP";1;2006;5;10;25;-3.10366666666667;35.9359166666667
"ESP";1;2006;5;11;26;-2.42958333333333;36.6476666666667
"ESP";1;2006;5;11;28;-2.27525;36.76575
"ESP";1;2006;5;12;29;-2.54925;36.7065
"ESP";1;2006;5;12;30;-2.66058333333333;36.6620833333333
"ESP";1;2006;5;12;31;-2.78025;36.63575
"ESP";1;2006;5;12;32;-2.759;36.5824166666667
"ESP";1;2006;5;12;33;-2.77433333333333;36.4799166666667
"ESP";1;2006;5;13;34;-3.68033333333333;36.62775
"ESP";1;2006;5;13;35;-3.553;36.6044166666667
"ESP";1;2006;5;13;36;-3.21283333333333;36.6586666666667
"ESP";1;2006;5;13;37;-3.0445;36.629
"ESP";1;2006;5;14;38;-3.06066666666667;36.56875
"ESP";1;2006;5;14;39;-2.70808333333333;36.5425833333333
"ESP";1;2006;5;14;40;-2.53983333333333;36.5745833333333
"ESP";1;2006;5;14;41;-2.18;36.51375
"ESP";1;2006;5;15;42;-1.76708333333333;36.8466666666667
"ESP";1;2006;5;15;43;-1.8855;36.8294166666667
"ESP";1;2006;5;15;44;-1.7765;37.10325
"ESP";1;2006;5;15;45;-1.69041666666667;37.2503333333333
"ESP";1;2006;5;16;46;-1.6655;37.2154166666667
"ESP";1;2006;5;16;47;-1.56258333333333;37.3639166666667
"ESP";1;2006;5;16;48;-1.41033333333333;37.3889166666667
"ESP";1;2006;5;16;49;-1.1635;37.51025
"ESP";1;2006;5;17;50;-0.922083333333333;37.5440833333333
"ESP";1;2006;5;17;51;-0.814416666666667;37.5320833333333
"ESP";1;2007;5;19;1;-4.28366666666667;36.6860833333333
"ESP";1;2007;5;19;2;-4.44516666666667;36.5441666666667
"ESP";1;2007;5;19;3;-4.53608333333333;36.5543333333333
"ESP";1;2007;5;19;4;-4.56925;36.5543333333333
"ESP";1;2007;5;20;5;-4.79316666666667;36.2856666666667
"ESP";1;2007;5;20;6;-4.95133333333333;36.2548333333333
"ESP";1;2007;5;20;7;-5.06183333333333;36.29075
"ESP";1;2007;5;20;8;-5.14025;36.3368333333333
"ESP";1;2007;5;20;9;-5.212;36.3444166666667
"ESP";1;2007;5;21;10;-4.845;36.4529166666667
"ESP";1;2007;5;21;11;-4.75383333333333;36.3900833333333
"ESP";1;2007;5;21;12;-4.47733333333333;36.3955833333333
"ESP";1;2007;5;21;13;-4.32941666666667;36.31
"ESP";1;2007;5;22;14;-4.30116666666667;36.4848333333333
"ESP";1;2007;5;22;15;-4.1865;36.49
"ESP";1;2007;5;22;16;-4.055;36.6275833333333
"ESP";1;2007;5;22;17;-3.84566666666667;36.6133333333333
"ESP";1;2007;5;22;18;-3.64508333333333;36.6226666666667
